Label	X	Y	Z	Accuracy	Enabled
8928d89ac03ffff	-124.40790447957143	49.352543572714346	0.0	0.05	1
8928d89ac0bffff	-124.40413596485712	49.354342411000054	0.0	0.05	1
8928d89ac1bffff	-124.40385655471427	49.35158511200006	0.0	0.05	1
8928d89ac43ffff	-124.39631897114282	49.355182474000046	0.0	0.05	1
8928d89ac47ffff	-124.40036718714283	49.35614112042862	0.0	0.05	1
8928d89ac53ffff	-124.39603981457141	49.35242512271434	0.0	0.05	1
8928d89ac57ffff	-124.40008789457143	49.35338385742863	0.0	0.05	1
8928d89ac5bffff	-124.39227074599994	49.35422364628575	0.0	0.05	1
8928d89ac73ffff	-124.40441539371429	49.35709958600006	0.0	0.05	1
8928d89acc7ffff	-124.40357716371427	49.348827689428624	0.0	0.05	1
8928d89accbffff	-124.39576067714282	49.34966764757148	0.0	0.05	1
8928d89accfffff	-124.39980862085714	49.35062647000006	0.0	0.05	1
